timestamp,topic,payload
2025-10-04 21:37:11,sensors/temperature,23.7
2025-10-04 21:40:39,sensors/temperature,21.6
2025-10-04 21:40:39,sensors/humidity,62.0
2025-10-04 21:40:44,sensors/temperature,24.9
2025-10-04 21:40:44,sensors/humidity,53.7
2025-10-04 21:40:49,sensors/temperature,26.3
2025-10-04 21:40:49,sensors/humidity,34.1
2025-10-04 21:40:54,sensors/temperature,29.0
2025-10-04 21:40:54,sensors/humidity,34.3
2025-10-04 21:40:59,sensors/temperature,23.1
2025-10-04 21:40:59,sensors/humidity,69.3
2025-10-04 21:41:04,sensors/temperature,28.2
2025-10-04 21:41:04,sensors/humidity,60.6
2025-10-04 21:41:09,sensors/temperature,21.0
2025-10-04 21:41:09,sensors/humidity,53.5
2025-10-04 21:41:14,sensors/temperature,21.8
2025-10-04 21:41:14,sensors/humidity,36.4
2025-10-04 21:41:19,sensors/temperature,24.9
2025-10-04 21:41:19,sensors/humidity,43.6
2025-10-04 21:41:24,sensors/temperature,29.2
2025-10-04 21:41:24,sensors/humidity,32.1
2025-10-04 21:41:29,sensors/temperature,20.4
2025-10-04 21:41:29,sensors/humidity,67.3
2025-10-04 21:41:34,sensors/temperature,25.1
2025-10-04 21:41:34,sensors/humidity,55.3
2025-10-04 21:41:39,sensors/temperature,29.0
2025-10-04 21:41:39,sensors/humidity,68.5
2025-10-04 21:41:44,sensors/temperature,27.5
2025-10-04 21:41:44,sensors/humidity,56.9
2025-10-04 21:41:49,sensors/temperature,25.5
2025-10-04 21:41:49,sensors/humidity,44.5
2025-10-04 21:41:54,sensors/temperature,28.0
2025-10-04 21:41:54,sensors/humidity,68.4
2025-10-04 21:41:59,sensors/temperature,25.6
2025-10-04 21:41:59,sensors/humidity,57.1
2025-10-04 21:42:04,sensors/temperature,26.2
2025-10-04 21:42:04,sensors/humidity,61.1
2025-10-04 21:42:09,sensors/temperature,22.1
2025-10-04 21:42:09,sensors/humidity,60.9
2025-10-04 21:42:14,sensors/temperature,23.2
2025-10-04 21:42:14,sensors/humidity,46.8
2025-10-04 21:42:19,sensors/temperature,29.9
2025-10-04 21:42:19,sensors/humidity,43.4
2025-10-04 21:42:24,sensors/temperature,26.1
2025-10-04 21:42:24,sensors/humidity,53.1
2025-10-04 21:42:29,sensors/temperature,20.8
2025-10-04 21:42:29,sensors/humidity,54.8
2025-10-04 21:42:34,sensors/temperature,26.6
2025-10-04 21:42:34,sensors/humidity,64.1
2025-10-04 21:42:39,sensors/temperature,27.8
2025-10-04 21:42:39,sensors/humidity,42.8
2025-10-04 21:42:44,sensors/temperature,25.2
2025-10-04 21:42:44,sensors/humidity,42.1
2025-10-04 21:42:49,sensors/temperature,28.1
2025-10-04 21:42:49,sensors/humidity,40.3
2025-10-04 21:42:54,sensors/temperature,26.1
2025-10-04 21:42:54,sensors/humidity,55.8
2025-10-04 21:42:59,sensors/temperature,23.8
2025-10-04 21:42:59,sensors/humidity,69.2
2025-10-04 21:43:04,sensors/temperature,25.7
2025-10-04 21:43:04,sensors/humidity,45.9
2025-10-04 21:43:09,sensors/temperature,25.8
2025-10-04 21:43:09,sensors/humidity,54.6
2025-10-04 21:43:14,sensors/temperature,26.5
2025-10-04 21:43:14,sensors/humidity,45.1
2025-10-04 21:43:19,sensors/temperature,25.0
2025-10-04 21:43:19,sensors/humidity,50.9
2025-10-04 21:43:24,sensors/temperature,29.8
2025-10-04 21:43:24,sensors/humidity,65.2
2025-10-04 21:43:29,sensors/temperature,23.6
2025-10-04 21:43:29,sensors/humidity,68.3
2025-10-04 21:43:34,sensors/temperature,20.4
2025-10-04 21:43:34,sensors/humidity,55.5
2025-10-04 21:43:39,sensors/temperature,24.1
2025-10-04 21:43:39,sensors/humidity,65.0
